MODULE	web	page	design	xhtml	html	cascading	style	sheets	css	client	side	javascript	jquery	callback	functions	structure	navigation	linking	maintenance	user	interface	guidelines	for	using	wireframes	to	produce	initial	graphics	file	compression	formats	accessibility	issues	site	publishing	search	engine	optimisation	online	advertising	introduction	data	objects	structures	complex	writing	running	programs	compilation	interpretation	the	java	virtual	machine	variables	primitives	scope	methods	computational	thinking	constructors	loops	arrays	collections	iterators	library	integrated	development	environments	testing	debugging	software	what	makes	good	program	super	sub	classes	inheritence	polymorphism	dynamic	binding	abstract	interfaces	designing	applications	moving	from	problem	solution	event	driven	programming	computer	architecture	evolution	digital	electronics	arithmetic	assembly	cpu	risc	superscalar	architectures	buses	interconnection	memory	systems	cache	input	output	interrupts	storage	raid	advanced	operating	arm	linux	based	single	board	computers	unix	family	of	bsd	os	philosophy	environment	files	processes	pipes	filters	basic	utilities	manipulation	tools	editors	grep	other	scripting	shells	shell	personal	independent	learning	time	management	literacy	information	skills	presentation	including	cvs	public	talks	brands	academic	integrity	technical	reports	groupwork	diversity	in	it	project	entrepreneurship	contractual	restraints	compromises	planning	constraints	legal	nature	professional	societies	career	ethics	codes	conduct	practice	licensing	open	source	copyright	patent	trade	secrets	registered	generated	evidence	obscene	publications	graphical	swing	awt	components	handling	ntroduction	is	system	communication	covers	three	important	topics	unified	modelling	language	uml	set	techniques	diagrammatic	standards	help	model	small	use	cases	activity	sequence	class	diagrams	soft	methodology	ssm	an	approach	capturing	understanding	large	engineering	how	these	two	views	fit	into	process	particular	lifecycle	strategies	health	safety	at	work	laboratories	lessons	learned	trends	simple	usage	principles	transfer	peripherals	buffers	behind	specific	such	as	printers	discs	virtualisations	mobile	mathematical	proof	by	case	analysis	contradiction	induction	recursion	universal	properties	problems	requirements	solutions	models	waterfall	agile	elicitation	validation	structuring	narrative	state	machines	with	studies	collaborative	working	its	organisational	context	people	behaviour	intention	attitude	self	awareness	others	are	attributed	interview	assertive	communicating	bars	persuading	persuasive	power	relationships	groups	teams	across	cultures	leadership	influences	solving	troubleshooting	rationale	database	entity	relationship	sublanguages	sql	concurrency	security	application	no	databases	topic	practical	implementation	implement	website	supporting	preparation	second	semester	integrating	oo	php	view	controller	looking	after	code	making	accessible	bug	trackers	repository	dependencies	packaging	include	networking	internet	tcp	ip	layered	protocols	their	standardisation	ietf	naming	addressing	viable	general	theory	stakeholders	external	uncontrollable	factors	business	value	added	reseller	retailer	services	house	facilities	consultancy	special	research	group	cost	reward	shareholders	shareholder	contribution	profit	before	tax	declared	dividends	buying	starting	up	selling	businesses	loans	venture	capital	exit	financing	leverage	capitalisation	intellectual	property	valuing	control	triangle	shares	flotation	unlisted	securities	market	usm	distinguishing	between	pay	direct	overheads	allocated	costs	being	staying	buy	or	lease	out	budgeting	estimating	providing	quotations	offers	estimates	contracts	bidding	materials	firm	fixed	price	plus	penalty	clauses	negotiating	re	walking	away	managing	budgets	effects	schedule	slippage	budget	over	run	cash	flows	discounted	flow	npv	irr	break	even	ipr	licences	confidentiality	non	disclosure	risk	probability	severity	exposure	amelioration	insurance	bankruptcy	benefit	customer	stakeholder	link	savings	productivity	quality	enhancement	faster	quicker	better	knowledge	workers	incentives	selected	theories	industry	retainer	freelance	employed	contracted	consultant	employee	commercial	changing	jobs	employers	roles	influence	politics	culture	matters	who	you	want	be	positioning	success	covered	will	ai	flavours	strong	weak	neat	scruffy	symbolic	metaphor	computation	church	turing	thesis	test	searle	chinese	room	argument	recursive	on	numbers	lists	trees	graphs	procedural	abstraction	procedures	arguments	return	values	automata	finite	regular	expressions	languages	pumping	lemma	closure	myhill	nerode	theorem	free	grammars	pushdown	there	little	formal	teaching	unit	students	exercise	develop	following	areas	production	limitations	all	phases	teamwork	ability	pick	new	without	training	execution	acceptance	realistic	effort	required	kloc	responsibility	scheduling	meetings	compiled	vs	interpreted	imperative	functional	declarative	type	inference	reasoning	about	contextual	equivalence	semantics	operational	denotational	axiomatic	threading	thread	concurrent	modern	psychology	hardware	devices	metaphors	interaction	styles	gui	windowing	metrics	evaluation	goal	structured	goals	service	decomposition	component	checking	refinement	preconditions	postconditions	loop	invariants	variants	embedded	limited	asynchronous	reentrant	real	student	depend	programme	study	choice	privacy	social	cryptography	physical	logical	commerce	signatures	banking	liability	obligations	module	analyse	technology	dependency	global	contexts	through	explore	technologies	also	uniqueness	key	current	interest	presented	covering	broad	themes	effect	transmission	recording	dissemination	news	media	distance	education	economy	definitions	capture	retrieval	biometrics	individual	identity	society	societal	rights	related	legislation	private	electronic	line	voting	civil	liberty	above	examples	included	illustrative	purposes	vary	year	extrapolate	studied	speculate	future	everyday	life	instructional	ise	serious	games	pedagogical	engines	experience	human	eye	brain	vision	image	formation	sampling	fourier	transform	processing	quantisation	brightness	colour	histogram	operations	convolution	frequency	domain	edge	detection	boundary	extraction	building	that	see	robustness	invariance	repeatability	fundamentals	classification	clustering	covariance	eigendecomposition	pca	feature	point	segmentation	shape	representation	local	features	matching	scale	indexing	performing	recognition	recovering	depth	multiple	biometric	recognising	industrial	etc	historical	perspective	biological	motivations	mcculloch	pitts	neuron	hebbian	statistical	cloud	computing	advantages	disadvantages	taxonomy	paas	saas	iaas	crowdsourcing	participatory	sensing	citizen	science	amazon	mechanical	turk	platforms	wireless	bluetooth	bandwidth	access	sensor	networks	roaming	eduroam	ipv	host	network	mobility	emerging	configuration	discovery	routing	deployment	scenarios	challenges	transition	integration	multicast	defined	delay	tolerant	home	monitoring	intrusion	prevention	dbms	internals	relational	algebra	types	spatial	temporal	concepts	molecular	biology	alignment	probabilistic	hidden	markov	stochastic	rna	high	throughput	transcriptomic	proteomic	metabolomic	inferring	regulation	autoregulation	morphogen	diffusion	brief	capabilities	popular	package	primitive	elements	sdl	opengl	specifying	shapes	geometry	viewing	animation	off	rendering	ray	tracing	radiosity	renderman	emphasising	shader	vertex	fragment	shaders	manipulating	pixels	drawing	bresenhams	algorithms	arbitrary	curves	circles	ellipses	filling	flood	fill	polygon	scan	converting	polygons	smooth	splines	beizier	pix	blit	device	coordinates	viewports	windows	transformations	translation	rotating	scaling	shear	pipeline	clipping	cohen	sutherland	algorithm	vectors	homogeneous	derivations	matrix	show	transforms	combine	they	put	together	dimensional	coordinate	glm	maths	concept	synthetic	camera	projection	volume	surface	removal	bsp	world	lighting	intensity	function	gouraud	phong	shading	approximations	different	shadeing	surfaces	specifically	bezier	introducing	tessellation	subdivision	nurbe	discused	reflection	texture	mapping	mip	maps	bump	shadow	noise	especially	perlin	discussed	physics	movement	collisions	described	definition	determinism	review	interfacing	traps	events	response	times	latency	clocks	background	attack	attacker	range	big	mixed	hw	sw	id	iso	mifare	passports	near	field	communications	card	emv	payment	gsm	sim	cards	chip	pin	secure	modules	wired	wifi	cryptosystems	wep	password	vulnerabilities	infrastructure	penetration	reverse	suspicious	channel	attacks	resistant	designs	patch	rootkits	viruses	smart	grids	cyber	warfare	italian	job	leaks	leakers	snowden	legacy	game	level	construction	obstacles	tutorial	agreed	negotiation	yourself	supervisor	support	your	enabled	transformation	pproaches	strategy	creation	swot	senior	presentations	governance	reporting	economics	roi	back	outsourcing	utility	dashboards	balanced	scorecards	enterprise	middleware	erp	scm	crm	cms	role	cios	consultants	report	organisations	algorithmic	natural	selection	adaptation	evolutionary	genetic	combinatorial	tsp	graph	colouring	heuristic	simulated	annealing	gradient	ascent	evolvability	difficulty	fitness	landscapes	epistasis	constraint	modularity	sexual	recombination	possibilities	artificial	ended	developmental	representations	wright	versus	fisher	mass	shifting	balance	units	interactions	among	species	coevolution	coadaptation	compositional	hybridisation	major	transitions	macro	saltations	gradualism	extinction	speciation	agent	reactive	rational	decision	uncertainty	coordination	dcop	max	sum	competitive	mechanism	markets	auctions	deploying	agents	within	projects	costing	assurance	qa	capability	maturity	iterative	incremental	manual	automated	refactoring	asp	net	underlying	linq	pages	forms	mvc	comparison	approaches	jsp	jdbc	object	oriented	server	patterns	enhance	maintainability	testability	dependability	injection	inversion	orm	template	further	parametric	advance	hough	active	contour	description	describe	extracted	syntactic	restoration	beyond	weiner	filter	least	mean	squares	extensions	maximum	entropy	imaging	calibration	epipolar	passive	ranging	morphology	binary	theoretic	cooperative	strategic	normal	form	dominance	iterated	minimax	nash	equilibrium	evaluating	pure	equilibria	potential	dynamics	extensive	subgame	perfect	correlated	equilibri	um	bayes	coalition	characteristic	core	nucleolus	shapley	banzaff	index	rules	desirable	arrow	impossibility	muller	satterthwaite	gibbard	convergence	stable	outcomes	standard	auction	english	dutch	first	revenue	maximisation	mechanisms	formalism	revelation	principle	vickrey	clarke	groves	simultaneous	sequential	double	fictitious	play	regret	minimisation	ad	generalised	congestion	grid	supervised	unsupervised	loss	generalization	kernel	linear	vector	ridge	regression	kernels	latent	semantic	bayesian	prior	belief	expectation	em	gaussian	ensemble	bagging	boosting	random	forest	generation	product	lines	metaprogramming	quote	rewrite	aspect	verification	specification	logics	explict	bounded	spin	jpf	cmbc	esbmc	jml	spec	dafny	overview	images	face	fingerprint	holistic	identification	ages	history	forensic	gait	iris	acquisition	performance	limits	measurements	demonstration	do	really	can	we	recognize	modalities	resolved	preliminaries	numerical	optimization	differential	equations	monte	carlo	simulations	matlab	finance	toolbox	packages	financial	instruments	uses	portfolio	quantifying	options	pricing	black	scholes	content	csv	json	xml	rdf	validating	cleaning	csvlint	jsonlint	refine	visualising	js	defining	benefits	risks	inforgrapics	innovation	opportunities	ux	engagement	addiction	pitching	investors	ontologies	logic	schema	owl	protege	methodologies	sparql	linked	vocabularies	trust	community	stella	netlogo	repast	dynamical	schemes	scientifc	python	reflect	latest	activities	foaf	skos	wide	hypertext	pioneers	hypermedia	representational	markup	svg	mathml	dom	http	soap	styling	xslt	metadata	rss	atom	usability	moral	disability	ethical	assistive	assessment	involving	users	approval	gant	charts	resource	mac	thin	clients	third	hadoop	centres	mainframes	pcs	iphones	assembler	orientation	lisp	prolog	sorting	complexity	tractability	intelligence	lisa	neural	ps	gpus	mythical	man	ethernet	routers	wimax	raspberry	pi	syllabus	includes	threat	landscape	trend	actors	governments	citizens	criminals	multidisciplinary	pervasive	isps	intermediaries	dpi	pki	encryption	hashing	anonymity	crowds	onion	tor	offensive	war	hacktivism	persistent	threats	critical	infrastructures	name	cast	ecash	bitcoin	aspects	multilevel	policies	investment	breach	anonymisation	de	law	regulating	offences	protection	architectural	detailed	rodin	levels	criticality	this	not	have	element	but	highest	scoring	typically	might	appropriate	example	compare	uniform	framework	surveyed	complete	extend	articles	repeat	hence	suspect	measurement	frameworks	implementing	best	practices	impact	crypto	ciphers	authentication	passwords	phishing	posture	owasp	exploitation	cross	nsm	malware	denial	mitigation	incident	forensics	disaster	recovery	platform	finding	satisfactory	paths	breadth	deepening	optimal	branch	bound	computability	decidabilty	parallel	distributed	metholodies	basis	neuroscience	visual	perception	sensemaking	saving	lives	epidemiology	dimensions	categorical	ordinal	dimensionality	course	introduce	scientist	toolkit	cover	full	collection	crawling	notions	visualization	stream	mapreduce	taking	provided	google	objectives	coursework	exercises	which	existing	sets	build	own	terminology	art	curation	analytics	modeling	experiment	pitfalls	intergration	nosql	hazards	implications	trusted	initiative	static	importance	mining	forecasting	prediction	unstructured
COMP1202: Programming I	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1206: Programming 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
