MODULE	introduce	students	the	key	issues	when	designing	and	world	web	design	comp	code	immediate	prerequisites	knowledge	technical	principles	functions	structure	user	for	using	graphics	online	computer	science	software	basic	data	structures	algorithms	which	modern	engineering	these	course	also	algorithmics	required	common	time	complexity	how	object	oriented	methods	skills	appropriate	particular	problem	understand	important	evaluate	strategy	solve	subject	have	programs	java	simple	use	build	complex	transferable	problems	introduction	aims	programming	approach	them	with	study	used	language	including	range	analyse	model	generic	practical	process	machine	computational	thinking	development	testing	what	applications	from	solution	give	fundamentals	main	their	some	digital	covered	experience	based	systems	describe	components	between	modules	features	level	architecture	evolution	advanced	operating	explain	role	database	information	management	tools	techniques	develop	system	line	working	its	modelling	application	support	apply	relationship	make	new	languages	create	environment	processes	other	scripting	aim	fundamental	professional	they	are	provide	opportunity	individual	learning	that	computing	domains	concepts	more	topics	within	topic	areas	identify	critically	business	different	aspects	communicate	work	approaches	project	planning	practice	open	organisations	explore	context	about	technologies	research	communication	set	real	together	network	but	view	developing	large	current	variety	requirements	standards	strategies	technology	platforms	theoretical	examples	future	such	mathematical	foundations	formal	present	not	solving	theory	sets	analysis	case	coursework	models	patterns	select	implementing	solutions	state	teams	high	your	groups	leaders	social	interaction	group	part	implementation	databases	security	verification	implement	accessible	networks	distributed	cloud	commercial	networking	both	etc	general	non	all	underlying	broad	field	artificial	intelligence	intelligent	processing	iii	there	critical	has	human	gives	embedded	challenges	can	cyber	society	biometrics	serious	games	game	vision	many	biology	generation	msc	secure	introduces	dtc	simulation	agents	automated	semantic	finance	innovation	usable	qualitative	assessing	visualisation	mining
COMP1215: Foundations of Computer Science	1	2	10	0	0	0	0	24	0	0	0	5	1	1	2	2	0	1	1	0	0	3	0	0	0	5	5	0	2	1	3	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	4	0	0	1	1	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	1	2	0	0	0	1	0	2	4	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	3	1	1	1	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1216: Software Modelling and Design	1	1	12	0	0	0	1	28	0	0	6	5	5	1	1	3	0	0	0	1	0	4	1	0	0	0	0	10	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	1	1	0	4	5	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	2	2	0	0	6	0	0	0	1	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	6	2	0	0	0	0	2	8	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	5	2	1	3	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1217: Foundations of IT	0	2	8	0	0	0	0	12	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP2201: Groups, Teams and Leaders	0	0	10	1	1	0	0	28	0	0	0	1	1	1	2	3	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	8	1	6	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	6	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	3	0	1	10	0	0	0	3	0	0	0	2	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	5	1	4	5	2	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP2202: Database and Database Applications	0	1	7	0	2	0	0	8	0	0	1	1	1	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	2	11	2	4	0	0	0	1	0	0	0	3	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP2203: Application Scripting	0	0	15	0	0	0	0	23	0	1	3	1	4	1	2	5	0	0	0	0	0	4	3	0	0	0	0	3	0	2	1	2	0	0	0	4	0	0	0	0	1	0	0	2	2	2	0	3	1	0	1	0	0	1	0	3	2	0	2	0	1	4	0	0	1	3	0	1	5	0	0	2	0	1	0	0	0	0	1	1	3	0	0	1	0	6	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	0	1	1	0	0	1	1	6	0	0	0	0	0	1	1	3	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP2204: Computer Networking in Organisations	0	2	26	0	0	0	0	30	0	2	6	1	1	1	2	2	0	7	1	0	0	2	0	0	0	1	0	1	0	2	0	1	0	1	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	0	0	1	1	1	0	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	1	0	2	1	2	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	1	2	2	0	0	0	1	3	0	0	0	2	0	0	0	3	2	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	1	3	0	0	2	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	1	0	2	0	2	0	0	0	19	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	4	3	5	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP2205: Commercial Aspects of IT	1	1	11	0	2	0	0	25	0	0	0	1	1	1	2	1	0	0	1	3	0	5	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	9	1	2	0	0	0	5	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP2207: Distributed Systems and Networks	0	3	26	0	0	0	0	26	0	2	5	3	1	1	1	2	0	6	1	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	4	2	3	3	0	0	1	0	1	1	0	0	0	1	0	0	2	0	1	3	0	2	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	2	0	0	9	0	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	13	0	0	2	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP2208: Intelligent Systems	0	0	14	0	0	1	0	11	0	0	0	2	1	1	1	3	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	2	0	1	0	1	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
